"Anho","Mes","1. Imacec","2. Producción de bienes","2.1. Minería","2.2. Industria","2.3. Resto de bienes","3. Comercio","4. Servicios","5. Imacec a costo de factores","6. Impuestos sobre los productos","7. Imacec no minero","Mes_num","Fecha","IMACEC_SA","Var_m_m_SA","Var_a_a_NSA"
2013,"Febrero",82.290798704916,95.403541702615,84.352682449535,83.533854458505,114.29980277441,81.517865727972,74.84685061156,82.738373865136,78.349372617413,82.251811724668,2,2013-02-01,2.71065463165857e+38,34.0175911554375,3.40129782345953
2013,"Marzo",92.913041212065,101.13909384499,96.989745500533,94.361155914235,110.81275854871,94.762837867372,88.486109964018,93.552178971324,87.272645792721,92.686123009388,3,2013-03-01,4.42160410023892e+38,63.1194195157745,4.05936965948619
2013,"Abril",91.379425940569,94.962492933317,91.608029839907,95.254604095807,98.398869560796,96.526891138483,89.469752838387,92.096046413223,85.048983606188,91.551699957517,4,2013-04-01,6.21073194328534e+38,40.4633206068754,4.2864024332556
2013,"Mayo",90.697579066295,92.211374901603,96.61531997295,95.53424615476,87.290715807177,93.187964293076,90.023788683568,91.088887067293,87.260826314862,90.27334470394,5,2013-05-01,4.9373784800739e+38,-20.5024701571304,3.02022188003974
2013,"Junio",88.641039909121,88.586871430358,101.32736619581,91.159800813479,77.827868123928,85.798229500477,89.915308959929,88.998710731348,85.502521791764,87.504442954063,6,2013-06-01,1.62708827275885e+39,229.544976008098,2.99529173255713
2013,"Julio",85.50191213115,87.498242840503,96.253885351521,92.636812510083,77.762541852125,84.925687648469,84.283980839797,85.454135179206,85.968775678538,84.560895711321,7,2013-07-01,1.07042868452884e+39,-34.2120091177445,3.0599681932588
2013,"Agosto",88.963784357716,88.208689816274,100.21857720764,92.329729333601,76.788160195983,85.682803213677,90.011866501946,88.906525291708,89.51669584349,87.977608837452,8,2013-08-01,1.90500472177438e+39,77.9665240018191,2.66928553649717
2013,"Septiembre",85.269209784945,84.82032652487,100.12830390047,82.230354717765,76.109151461765,79.897434172024,86.635456109402,85.280605638008,85.209550303252,83.898117241955,9,2013-09-01,1.05775819332111e+39,-44.4747731472351,3.06915475367269
2013,"Octubre",92.312515238703,93.176408562425,104.97725633215,97.5663154315,81.762031806303,93.334672309521,92.290150730359,92.679902810286,89.089351959213,91.186058313537,10,2013-10-01,1.87834707188039e+39,77.5781160326284,2.74361608927358
2013,"Noviembre",94.521340844887,94.456217780987,106.28250565681,95.119544681569,85.966232008068,92.49555081742,96.029405703657,95.084425282405,89.558312822254,93.494133943259,11,2013-11-01,4.01404728098644e+39,113.701042851896,3.19320591381227
2013,"Diciembre",96.975942633417,100.97847170239,108.77506015915,95.788722095924,100.2511492903,107.57564558754,90.349889312439,95.822845606329,107.28149505395,95.950035975718,12,2013-12-01,1.76497969335719e+39,-56.0299226738691,2.41366663622793
2014,"Enero",88.069367400356,96.886830639786,94.821773499436,92.169985750829,103.29476935274,88.554036526701,83.150364729229,88.51003313427,84.1922357643,87.552190250543,1,2014-01-01,9.11558231877487e+38,-48.3530470459069,1.74553403745419
2014,"Febrero",84.837477008006,97.132378628901,91.741073885251,85.230125389571,111.73887193678,82.319375310379,78.092550794963,85.199396901185,81.659297624075,84.297547731802,2,2014-02-01,3.48914284399105e+39,282.766862497051,3.09473032607457
2014,"Marzo",95.254793177951,102.3943191577,98.497604072514,97.784623779558,110.18470949256,95.697446901187,91.644979926952,95.812804684785,90.337253479325,95.120122031582,3,2014-03-01,3.87933553770249e+39,11.1830530063687,2.52036951469621
2014,"Abril",92.842101619401,96.059142993428,97.720437331232,97.504164868254,94.759825498648,93.741165252655,92.148926287369,93.658694472575,85.623007279186,92.531185994886,4,2014-04-01,2.89090914858897e+39,-25.479270341717,1.60066192556658
2014,"Mayo",92.541042405328,94.105881369647,104.05949659764,95.700144395942,86.314634763089,92.968215674217,92.277354830158,92.962472829739,88.83721850152,91.534969816863,5,2014-05-01,5.01859713241611e+39,73.5992684123484,2.03253863885995
2014,"Junio",89.930888154081,88.806810630823,101.95954257815,89.499629665765,79.212337305524,85.143548586118,92.414667520056,90.372730829426,86.044197073585,88.865848343905,6,2014-06-01,4.19691690256608e+39,-16.3727075150669,1.45513663454582
2014,"Julio",86.084192717378,86.361466667901,97.221700620847,90.545688247115,75.750604683179,84.801943174802,86.506595446809,86.25411830863,84.614630260679,85.104102138136,7,2014-07-01,2.27420303648027e+39,-45.8125312157175,0.681014695127358
2014,"Agosto",89.664060554627,86.424871667373,99.062901909656,88.374133692275,76.209600935608,84.139276321513,92.807216075045,89.646122657826,89.867508291466,88.873508202781,8,2014-08-01,6.45873442110401e+39,183.999903152888,0.787147491495244
2014,"Septiembre",87.380209969435,85.662683888028,100.05175652762,85.70178768477,75.598671695707,82.913256862599,89.565549673572,87.483994706235,86.499679486802,86.242451969803,9,2014-09-01,5.1617852936408e+39,-20.0805458608951,2.47568869210126
2014,"Octubre",94.015475036373,94.202300536245,106.05335422061,98.14359395516,83.113921051858,90.845322911855,95.249269296148,94.400696423626,90.634492955997,92.958239665245,10,2014-10-01,1.19918148818676e+40,132.319133781897,1.84477672747456
2014,"Noviembre",95.335752002759,93.776852667419,103.63345184144,94.277079838227,86.916038659798,88.974527251458,98.530443293897,95.849811060273,90.809258773194,94.67254813533,11,2014-11-01,1.32258652098527e+40,10.2907719985823,0.861616171112578
2014,"Diciembre",99.359047164754,103.50270580273,113.82845066516,98.558141537413,100.67442936908,110.32385542139,92.601954875607,98.22070658168,109.53449026707,98.058963341223,12,2014-12-01,9.0061357333032e+39,-31.9051299071609,2.45741826954493
2015,"Enero",90.394785600771,100.21096911929,106.48938697154,91.059501617011,103.46400812437,91.17624578065,84.903478421978,90.980727361655,85.272219760329,88.924001233328,1,2015-01-01,1.55310757910913e+40,72.4499413623091,2.64043931398286
2015,"Febrero",87.067650014183,101.0487885325,92.262246905869,87.761017836083,118.23263250719,83.243069179351,79.301045457388,87.428750099837,83.914072735428,86.700772702141,2,2015-02-01,3.27084242331581e+40,110.599862321963,2.62875922862078
2015,"Marzo",97.371156870952,105.00610049297,99.435708293608,98.970513273843,114.42504054282,98.787719005102,93.387590617567,98.054466542497,91.396504922706,97.342247216279,3,2015-03-01,1.61054607453872e+40,-50.760511632779,2.22179233442594
2015,"Abril",95.115525359392,98.153017375403,97.400234472909,98.292025843631,99.38800652887,98.103059101698,94.068777975896,95.906869559581,88.194382754585,95.059992787629,4,2015-04-01,2.9889011044316e+40,85.5830858665539,2.44869913577648
2015,"Mayo",93.712606811154,94.478592359565,103.69864420692,96.345466068205,87.231402045901,92.931325168696,94.489096902033,94.276977276504,88.779330849359,92.870124569749,5,2015-05-01,2.61864013943408e+40,-12.3878626980513,1.26599439056951
